pheno	idp	pheno_code
weekly_alcohol_1	IDP-25106	ukb-b-5779
weekly_alcohol_2	IDP-25106	ukb-a-25
weekly_alcohol_1	IDP-25298	ukb-b-5779
weekly_alcohol_2	IDP-25298	ukb-a-25
weekly_alcohol_1	IDP-25458	ukb-b-5779
weekly_alcohol_2	IDP-25458	ukb-a-25
daily_cigarettes_1	IDP-25507	ieu-b-25
daily_cigarettes_2	IDP-25507	ukb-b-6019
daily_cigarettes_3	IDP-25507	ieu-a-961
daily_cigarettes_4	IDP-25507	ukb-b-469
daily_cigarettes_5	IDP-25507	ukb-a-342
daily_cigarettes_6	IDP-25507	ukb-b-20261
daily_cigarettes_7	IDP-25507	ukb-a-236
daily_cigarettes_1	PC-6	ieu-b-25
daily_cigarettes_2	PC-6	ukb-b-6019
daily_cigarettes_3	PC-6	ieu-a-961
daily_cigarettes_4	PC-6	ukb-b-469
daily_cigarettes_5	PC-6	ukb-a-342
daily_cigarettes_6	PC-6	ukb-b-20261
daily_cigarettes_7	PC-6	ukb-a-236
weekly_alcohol_1	IDP-25057	ukb-b-5779
weekly_alcohol_2	IDP-25057	ukb-a-25
weekly_alcohol_1	IDP-25604	ukb-b-5779
weekly_alcohol_2	IDP-25604	ukb-a-25
recurrent_depressive_disorder_1	IDP-25691	ukb-b-12064
recurrent_depressive_disorder_2	IDP-25691	ebi-a-GCST005902
recurrent_depressive_disorder_3	IDP-25691	ukb-d-20544_11
parent_depression_1	IDP-25238	ukb-b-12064
parent_depression_2	IDP-25238	ebi-a-GCST005902
parent_depression_3	IDP-25238	ukb-d-20544_11
handedness_1	IDP-25247	ukb-d-1707_1
handedness_2	IDP-25247	ukb-a-36
daily_coffee_1	IDP-25507	ukb-b-5237
daily_coffee_2	IDP-25507	ukb-b-9508
daily_coffee_1	PC-5	ukb-b-5237
daily_coffee_2	PC-5	ukb-b-9508
daily_cigarettes_1	IDP-25314	ieu-b-25
daily_cigarettes_2	IDP-25314	ukb-b-6019
daily_cigarettes_3	IDP-25314	ieu-a-961
daily_cigarettes_4	IDP-25314	ukb-b-469
daily_cigarettes_5	IDP-25314	ukb-a-342
daily_cigarettes_6	IDP-25314	ukb-b-20261
daily_cigarettes_7	IDP-25314	ukb-a-236
