pheno	idp	pheno_code
weekly_alcohol_1	IDP-25882	ukb-b-5779
weekly_alcohol_2	IDP-25882	ukb-a-25
weekly_alcohol_1	IDP-25883	ukb-b-5779
weekly_alcohol_2	IDP-25883	ukb-a-25
daily_cigarettes_1	PC-5	ieu-b-25
daily_cigarettes_2	PC-5	ukb-b-6019
daily_cigarettes_3	PC-5	ieu-a-961
daily_cigarettes_4	PC-5	ukb-b-469
daily_cigarettes_5	PC-5	ukb-a-342
daily_cigarettes_6	PC-5	ukb-b-20261
daily_cigarettes_7	PC-5	ukb-a-236
weekly_alcohol_1	IDP-25853	ukb-b-5779
weekly_alcohol_2	IDP-25853	ukb-a-25
handedness_1	IDP-25850	ukb-d-1707_1
handedness_2	IDP-25850	ukb-a-36
daily_coffee_1	IDP-25884	ukb-b-5237
daily_coffee_2	IDP-25884	ukb-b-9508
weekly_alcohol_1	IDP-25852	ukb-b-5779
weekly_alcohol_2	IDP-25852	ukb-a-25
parent_depression_1	PC-3	ukb-b-12064
parent_depression_2	PC-3	ebi-a-GCST005902
parent_depression_3	PC-3	ukb-d-20544_11
parent_AD_1	IDP-25878	ebi-a-GCST005921
parent_AD_2	IDP-25878	ieu-b-2
parent_AD_3	IDP-25878	ukb-b-14699
parent_AD_4	IDP-25878	ukb-b-323
daily_coffee_1	IDP-25905	ukb-b-5237
daily_coffee_2	IDP-25905	ukb-b-9508
