pheno	pheno_code	idp
intelligence	ebi-a-GCST006250	IDP-25003
fluid_intelligence	ukb-b-5238	IDP-25003
intelligence	ebi-a-GCST006250	IDP-25004
fluid_intelligence	ukb-b-5238	IDP-25004
intelligence	ebi-a-GCST006250	IDP-25783
fluid_intelligence	ukb-b-5238	IDP-25783
intelligence	ebi-a-GCST006250	IDP-25795
fluid_intelligence	ukb-b-5238	IDP-25795
intelligence	ebi-a-GCST006250	IDP-25875
fluid_intelligence	ukb-b-5238	IDP-25875
intelligence	ebi-a-GCST006250	PC-5
fluid_intelligence	ukb-b-5238	PC-5
intelligence	ebi-a-GCST006250	IDP-25006
fluid_intelligence	ukb-b-5238	IDP-25006
intelligence	ebi-a-GCST006250	IDP-25008
fluid_intelligence	ukb-b-5238	IDP-25008
intelligence	ebi-a-GCST006250	IDP-25010
fluid_intelligence	ukb-b-5238	IDP-25010
