pheno	pheno_code	idp
Astle_et_al_2016_Granulocyte_count	Astle_et_al_2016_Granulocyte_count	IDP-25023
Astle_et_al_2016_Granulocyte_count	Astle_et_al_2016_Granulocyte_count	IDP-25850
Astle_et_al_2016_High_light_scatter_reticulocyte_count	Astle_et_al_2016_High_light_scatter_reticulocyte_count	IDP-25785
Astle_et_al_2016_High_light_scatter_reticulocyte_count	Astle_et_al_2016_High_light_scatter_reticulocyte_count	IDP-25914
Astle_et_al_2016_High_light_scatter_reticulocyte_count	Astle_et_al_2016_High_light_scatter_reticulocyte_count	IDP-25808
Astle_et_al_2016_High_light_scatter_reticulocyte_count	Astle_et_al_2016_High_light_scatter_reticulocyte_count	IDP-25828
Astle_et_al_2016_Lymphocyte_counts	Astle_et_al_2016_Lymphocyte_counts	IDP-25833
Astle_et_al_2016_Lymphocyte_counts	Astle_et_al_2016_Lymphocyte_counts	IDP-25850
Astle_et_al_2016_Lymphocyte_counts	Astle_et_al_2016_Lymphocyte_counts	IDP-25021
Astle_et_al_2016_Monocyte_count	Astle_et_al_2016_Monocyte_count	IDP-25850
Astle_et_al_2016_Monocyte_count	Astle_et_al_2016_Monocyte_count	IDP-25905
Astle_et_al_2016_Monocyte_count	Astle_et_al_2016_Monocyte_count	IDP-25885
Astle_et_al_2016_Myeloid_white_cell_count	Astle_et_al_2016_Myeloid_white_cell_count	IDP-25023
Astle_et_al_2016_Myeloid_white_cell_count	Astle_et_al_2016_Myeloid_white_cell_count	IDP-25850
Astle_et_al_2016_Myeloid_white_cell_count	Astle_et_al_2016_Myeloid_white_cell_count	IDP-25878
Astle_et_al_2016_Myeloid_white_cell_count	Astle_et_al_2016_Myeloid_white_cell_count	IDP-25911
Astle_et_al_2016_Neutrophil_count	Astle_et_al_2016_Neutrophil_count	IDP-25023
Astle_et_al_2016_Neutrophil_count	Astle_et_al_2016_Neutrophil_count	IDP-25850
Astle_et_al_2016_Neutrophil_count	Astle_et_al_2016_Neutrophil_count	IDP-25878
Astle_et_al_2016_Neutrophil_count	Astle_et_al_2016_Neutrophil_count	IDP-25834
Astle_et_al_2016_Platelet_count	Astle_et_al_2016_Platelet_count	IDP-25791
Astle_et_al_2016_Platelet_count	Astle_et_al_2016_Platelet_count	IDP-25852
Astle_et_al_2016_Platelet_count	Astle_et_al_2016_Platelet_count	IDP-25812
