pheno	pheno_code	idp
ADHD_PGC_2017	ADHD_PGC_2017	IDP-25507
ADHD_PGC_2017	ADHD_PGC_2017	IDP-25524
AD_Jansen_2019	AD_Jansen_2019	IDP-25106
BIP_PGC_2020	BIP_PGC_2020	PC-1
BMI_Locke_2018	BMI_Locke_2018	IDP-25200
BMI_Locke_2018	BMI_Locke_2018	IDP-25337
BMI_Locke_2018	BMI_Locke_2018	IDP-25507
BMI_Locke_2018	BMI_Locke_2018	IDP-25568
BMI_Locke_2018	BMI_Locke_2018	IDP-25578
BMI_Locke_2018	BMI_Locke_2018	IDP-25668
BMI_Locke_2018	BMI_Locke_2018	IDP-25728
BMI_Locke_2018	BMI_Locke_2018	PC-5
BMI_Locke_2018	BMI_Locke_2018	PC-6
BMI_Locke_2018	BMI_Locke_2018	PC-9
BMI_Locke_2018	BMI_Locke_2018	IDP-25185
BMI_Locke_2018	BMI_Locke_2018	IDP-25359
BMI_Locke_2018	BMI_Locke_2018	IDP-25404
BMI_Locke_2018	BMI_Locke_2018	IDP-25454
BMI_Locke_2018	BMI_Locke_2018	IDP-25513
BMI_Locke_2018	BMI_Locke_2018	IDP-25584
BMI_Locke_2018	BMI_Locke_2018	IDP-25679
EA_Lee_2018	EA_Lee_2018	IDP-25069
EA_Lee_2018	EA_Lee_2018	IDP-25191
EA_Lee_2018	EA_Lee_2018	IDP-25346
EA_Lee_2018	EA_Lee_2018	IDP-25440
EA_Lee_2018	EA_Lee_2018	IDP-25524
EA_Lee_2018	EA_Lee_2018	PC-2
EA_Lee_2018	EA_Lee_2018	PC-5
EA_Lee_2018	EA_Lee_2018	PC-8
EA_Lee_2018	EA_Lee_2018	PC-9
EA_Lee_2018	EA_Lee_2018	IDP-25442
EA_Lee_2018	EA_Lee_2018	IDP-25584
EA_Lee_2018	EA_Lee_2018	IDP-25663
ED_PGC_2019	ED_PGC_2019	IDP-25322
ED_PGC_2019	ED_PGC_2019	IDP-25381
ED_PGC_2019	ED_PGC_2019	IDP-25696
Intelligence_CTG	Intelligence_CTG	IDP-25069
Intelligence_CTG	Intelligence_CTG	IDP-25091
Intelligence_CTG	Intelligence_CTG	IDP-25191
Intelligence_CTG	Intelligence_CTG	IDP-25346
Intelligence_CTG	Intelligence_CTG	IDP-25440
Intelligence_CTG	Intelligence_CTG	IDP-25524
Intelligence_CTG	Intelligence_CTG	PC-2
Intelligence_CTG	Intelligence_CTG	PC-8
Intelligence_CTG	Intelligence_CTG	PC-9
Intelligence_CTG	Intelligence_CTG	IDP-25584
Intelligence_CTG	Intelligence_CTG	IDP-25663
Neuroticism_CTG	Neuroticism_CTG	IDP-25117
Neuroticism_CTG	Neuroticism_CTG	IDP-25195
Neuroticism_CTG	Neuroticism_CTG	IDP-25309
Neuroticism_CTG	Neuroticism_CTG	IDP-25490
Neuroticism_CTG	Neuroticism_CTG	IDP-25502
Neuroticism_CTG	Neuroticism_CTG	IDP-25540
Neuroticism_CTG	Neuroticism_CTG	IDP-25594
Neuroticism_CTG	Neuroticism_CTG	IDP-25643
Neuroticism_CTG	Neuroticism_CTG	PC-8
Neuroticism_CTG	Neuroticism_CTG	IDP-25154
Neuroticism_CTG	Neuroticism_CTG	IDP-25181
Neuroticism_CTG	Neuroticism_CTG	IDP-25513
PD_Nalls_2019	PD_Nalls_2019	IDP-25308
PD_Nalls_2019	PD_Nalls_2019	IDP-25567
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25139
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25151
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25215
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25238
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25247
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25372
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25407
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25430
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25678
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25687
SCZ_PGC_2020	SCZ_PGC_2020	PC-1
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25106
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25361
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25601
