pheno	pheno_code	idp
ADHD_PGC_2017	ADHD_PGC_2017	IDP-25850
ADHD_PGC_2017	ADHD_PGC_2017	PC-4
ASD_PGC_2017	ASD_PGC_2017	IDP-25791
BIP_PGC_2020	BIP_PGC_2020	IDP-25020
BIP_PGC_2020	BIP_PGC_2020	PC-2
BMI_Locke_2018	BMI_Locke_2018	IDP-25888
BMI_Locke_2018	BMI_Locke_2018	IDP-25892
BMI_Locke_2018	BMI_Locke_2018	IDP-25894
BMI_Locke_2018	BMI_Locke_2018	IDP-25911
BMI_Locke_2018	BMI_Locke_2018	IDP-25912
BMI_Locke_2018	BMI_Locke_2018	IDP-25914
BMI_Locke_2018	BMI_Locke_2018	IDP-25920
BMI_Locke_2018	BMI_Locke_2018	PC-1
BMI_Locke_2018	BMI_Locke_2018	PC-2
BMI_Locke_2018	BMI_Locke_2018	PC-4
BMI_Locke_2018	BMI_Locke_2018	PC-5
BMI_Locke_2018	BMI_Locke_2018	IDP-25008
BMI_Locke_2018	BMI_Locke_2018	IDP-25792
BMI_Locke_2018	BMI_Locke_2018	IDP-25890
BMI_Locke_2018	BMI_Locke_2018	IDP-25913
EA_Lee_2018	EA_Lee_2018	IDP-25006
EA_Lee_2018	EA_Lee_2018	IDP-25783
EA_Lee_2018	EA_Lee_2018	IDP-25802
EA_Lee_2018	EA_Lee_2018	IDP-25850
EA_Lee_2018	EA_Lee_2018	IDP-25876
EA_Lee_2018	EA_Lee_2018	IDP-25879
EA_Lee_2018	EA_Lee_2018	IDP-25892
EA_Lee_2018	EA_Lee_2018	IDP-25894
EA_Lee_2018	EA_Lee_2018	PC-4
EA_Lee_2018	EA_Lee_2018	PC-5
EA_Lee_2018	EA_Lee_2018	IDP-25004
EA_Lee_2018	EA_Lee_2018	IDP-25834
EA_Lee_2018	EA_Lee_2018	IDP-25878
Intelligence_CTG	Intelligence_CTG	IDP-25006
Intelligence_CTG	Intelligence_CTG	IDP-25783
Intelligence_CTG	Intelligence_CTG	IDP-25850
Intelligence_CTG	Intelligence_CTG	IDP-25875
Intelligence_CTG	Intelligence_CTG	IDP-25879
Intelligence_CTG	Intelligence_CTG	IDP-25892
Intelligence_CTG	Intelligence_CTG	PC-4
Intelligence_CTG	Intelligence_CTG	PC-5
Intelligence_CTG	Intelligence_CTG	IDP-25805
Intelligence_CTG	Intelligence_CTG	IDP-25834
Intelligence_CTG	Intelligence_CTG	IDP-25878
Intelligence_CTG	Intelligence_CTG	PC-2
MDD_PGC_2018	MDD_PGC_2018	IDP-25834
Neuroticism_CTG	Neuroticism_CTG	IDP-25025
Neuroticism_CTG	Neuroticism_CTG	IDP-25816
Neuroticism_CTG	Neuroticism_CTG	IDP-25834
Neuroticism_CTG	Neuroticism_CTG	IDP-25855
Neuroticism_CTG	Neuroticism_CTG	IDP-25864
Neuroticism_CTG	Neuroticism_CTG	PC-3
Neuroticism_CTG	Neuroticism_CTG	IDP-25006
Neuroticism_CTG	Neuroticism_CTG	IDP-25808
Neuroticism_CTG	Neuroticism_CTG	IDP-25878
Neuroticism_CTG	Neuroticism_CTG	IDP-25879
PD_Nalls_2019	PD_Nalls_2019	PC-4
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25012
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25020
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25847
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25857
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25011
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25806
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25851
