pheno	idp	pheno_code
weekly_alcohol_1	IDP-25106	ukb-b-5779
weekly_alcohol_2	IDP-25106	ukb-a-25
weekly_alcohol_1	IDP-25186	ukb-b-5779
weekly_alcohol_2	IDP-25186	ukb-a-25
weekly_alcohol_1	IDP-25298	ukb-b-5779
weekly_alcohol_2	IDP-25298	ukb-a-25
weekly_alcohol_1	IDP-25458	ukb-b-5779
weekly_alcohol_2	IDP-25458	ukb-a-25
recurrent_depressive_disorder_1	IDP-25592	ukb-b-12064
recurrent_depressive_disorder_2	IDP-25592	ebi-a-GCST005902
recurrent_depressive_disorder_3	IDP-25592	ukb-d-20544_11
daily_coffee_1	PC-5	ukb-b-5237
daily_coffee_2	PC-5	ukb-b-9508
daily_cigarettes_1	IDP-25314	ieu-b-25
daily_cigarettes_2	IDP-25314	ukb-b-6019
daily_cigarettes_3	IDP-25314	ieu-a-961
daily_cigarettes_4	IDP-25314	ukb-b-469
daily_cigarettes_5	IDP-25314	ukb-a-342
daily_cigarettes_6	IDP-25314	ukb-b-20261
daily_cigarettes_7	IDP-25314	ukb-a-236
daily_cigarettes_1	IDP-25507	ieu-b-25
daily_cigarettes_2	IDP-25507	ukb-b-6019
daily_cigarettes_3	IDP-25507	ieu-a-961
daily_cigarettes_4	IDP-25507	ukb-b-469
daily_cigarettes_5	IDP-25507	ukb-a-342
daily_cigarettes_6	IDP-25507	ukb-b-20261
daily_cigarettes_7	IDP-25507	ukb-a-236
weekly_alcohol_1	IDP-25567	ukb-b-5779
weekly_alcohol_2	IDP-25567	ukb-a-25
parent_AD_1	IDP-25198	ebi-a-GCST005921
parent_AD_2	IDP-25198	ieu-b-2
parent_AD_3	IDP-25198	ukb-b-14699
parent_AD_4	IDP-25198	ukb-b-323
