pheno	pheno_code	idp
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25089
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25183
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25231
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25281
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25350
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25423
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25582
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25640
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25721
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25237
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25429
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25471
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25505
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25540
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25648
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25392
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	PC-2
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25111
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25303
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25358
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25359
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25660
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25200
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25512
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25526
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25580
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25701
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25505
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25540
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25648
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25237
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25429
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25471
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25505
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25540
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25648
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25136
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25549
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25156
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25191
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25196
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-1
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-4
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	PC-2
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	PC-8
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25237
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25429
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25471
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25505
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25540
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25648
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25089
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25281
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25350
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25423
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25582
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25721
