pheno	pheno_code	idp
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25812
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	PC-4
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25023
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25850
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25878
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25785
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25911
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25003
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25004
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25818
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25833
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25857
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25878
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25882
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25883
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25796
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25850
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25905
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25023
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25850
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25878
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25023
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25850
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25878
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25815
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25852
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25850
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25863
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-5
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25785
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25799
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25812
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25914
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25023
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25850
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25878
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25812
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	PC-4
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25023
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25850
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25878
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25850
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25857
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25873
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25878
EGG_BL	ieu-a-29	IDP-25912
EGG_BL	ieu-a-29	IDP-25914
EGG_BW3_EUR	ukb-b-13378	IDP-25882
EGG_BW3_EUR	ukb-b-13378	IDP-25883
EGG_BW3_EUR	ukb-b-13378	IDP-25912
EGG_BW3_EUR	ukb-b-13378	PC-5
ENIGMA_Intracraneal_Volume	NA	IDP-25003
ENIGMA_Intracraneal_Volume	NA	IDP-25004
GIANT_2015_BMI_EUR	ukb-b-19953	IDP-25920
GIANT_HEIGHT	ieu-a-89	IDP-25003
GIANT_HEIGHT	ieu-a-89	IDP-25004
GIANT_HEIGHT	ieu-a-89	IDP-25830
GIANT_HEIGHT	ieu-a-89	IDP-25834
GIANT_HEIGHT	ieu-a-89	IDP-25849
GIANT_HEIGHT	ieu-a-89	IDP-25852
GIANT_HEIGHT	ieu-a-89	IDP-25854
GIANT_HEIGHT	ieu-a-89	IDP-25884
GIANT_HEIGHT	ieu-a-89	IDP-25912
GIANT_HEIGHT	ieu-a-89	PC-3
GIANT_HEIGHT	ieu-a-89	PC-4
GLGC_Mc_TG	NA	IDP-25912
IBD.EUR.Crohns_Disease	ukb-a-552	IDP-25887
RA_OKADA_TRANS_ETHNIC	ukb-b-11874	IDP-25885
SSGAC_Depressive_Symptoms	ieu-a-1000	IDP-25864
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25003
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25004
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25787
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25876
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25892
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25893
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25894
SSGAC_Education_Years_Pooled	ukb-b-6134	PC-5
UKB_1160_Sleep_duration	ukb-b-4424	IDP-25818
UKB_1160_Sleep_duration	ukb-b-4424	IDP-25839
UKB_1180_Morning_or_evening_person_chronotype	ukb-b-4956	IDP-25819
UKB_1807_Fathers_age_at_death	ukb-b-11303	IDP-25880
UKB_1807_Fathers_age_at_death	ukb-b-11303	PC-3
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25830
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25831
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25864
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25881
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25882
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25885
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25891
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25892
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	PC-3
UKB_20002_1111_self_reported_asthma	ukb-b-20208	IDP-25018
UKB_20002_1111_self_reported_asthma	ukb-b-20208	IDP-25791
UKB_20002_1111_self_reported_asthma	ukb-b-20208	IDP-25795
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	ukb-b-20289	IDP-25798
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	ukb-b-20289	IDP-25827
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	ukb-b-20289	IDP-25854
UKB_20002_1309_self_reported_osteoporosis	ukb-b-17796	IDP-25920
UKB_20002_1309_self_reported_osteoporosis	ukb-b-17796	PC-2
UKB_20002_1453_self_reported_psoriasis	ukb-b-10537	IDP-25790
UKB_20002_1473_self_reported_high_cholesterol	ukb-b-10912	IDP-25013
UKB_20002_1473_self_reported_high_cholesterol	ukb-b-10912	IDP-25014
UKB_20002_1473_self_reported_high_cholesterol	ukb-b-10912	IDP-25880
UKB_20002_1473_self_reported_high_cholesterol	ukb-b-10912	PC-3
UKB_20002_1473_self_reported_high_cholesterol	ukb-b-10912	PC-4
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25003
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25004
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25783
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25874
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25875
