pheno	pheno_code	idp
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25808
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25903
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25905
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	PC-4
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	PC-4
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	PC-4
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25834
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25812
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25018
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-4
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25808
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25812
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25903
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25905
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	PC-4
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25834
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	PC-4
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25798
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	PC-4
GIANT_HEIGHT	ieu-a-89	IDP-25003
GIANT_HEIGHT	ieu-a-89	IDP-25004
GIANT_HEIGHT	ieu-a-89	IDP-25799
GIANT_HEIGHT	ieu-a-89	IDP-25834
GIANT_HEIGHT	ieu-a-89	IDP-25852
GIANT_HEIGHT	ieu-a-89	IDP-25856
GIANT_HEIGHT	ieu-a-89	IDP-25884
GIANT_HEIGHT	ieu-a-89	IDP-25912
GIANT_HEIGHT	ieu-a-89	PC-4
GIANT_HEIGHT	ieu-a-89	PC-3
RA_OKADA_TRANS_ETHNIC	ukb-b-11874	PC-3
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25003
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25004
SSGAC_Education_Years_Pooled	ukb-b-6134	IDP-25835
SSGAC_Education_Years_Pooled	ukb-b-6134	PC-5
UKB_1160_Sleep_duration	ukb-b-4424	IDP-25798
UKB_1160_Sleep_duration	ukb-b-4424	IDP-25834
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	IDP-25891
UKB_20002_1065_self_reported_hypertension	ukb-b-12493	PC-3
UKB_20002_1309_self_reported_osteoporosis	ukb-b-17796	IDP-25919
UKB_20016_Fluid_intelligence_score	ukb-b-5238	IDP-25834
