pheno	pheno_code	idp
BMI_Locke_2018	BMI_Locke_2018	IDP-25157
BMI_Locke_2018	BMI_Locke_2018	IDP-25200
BMI_Locke_2018	BMI_Locke_2018	IDP-25337
BMI_Locke_2018	BMI_Locke_2018	IDP-25404
BMI_Locke_2018	BMI_Locke_2018	IDP-25454
BMI_Locke_2018	BMI_Locke_2018	IDP-25573
BMI_Locke_2018	BMI_Locke_2018	IDP-25728
EA_Lee_2018	EA_Lee_2018	IDP-25069
EA_Lee_2018	EA_Lee_2018	IDP-25298
EA_Lee_2018	EA_Lee_2018	IDP-25346
EA_Lee_2018	EA_Lee_2018	IDP-25637
EA_Lee_2018	EA_Lee_2018	IDP-25663
EA_Lee_2018	EA_Lee_2018	PC-2
EA_Lee_2018	EA_Lee_2018	PC-8
ED_PGC_2019	ED_PGC_2019	IDP-25093
Intelligence_CTG	Intelligence_CTG	IDP-25069
Intelligence_CTG	Intelligence_CTG	IDP-25091
Intelligence_CTG	Intelligence_CTG	IDP-25298
Intelligence_CTG	Intelligence_CTG	IDP-25525
Intelligence_CTG	Intelligence_CTG	IDP-25601
Intelligence_CTG	Intelligence_CTG	IDP-25633
Intelligence_CTG	Intelligence_CTG	IDP-25714
Neuroticism_CTG	Neuroticism_CTG	IDP-25154
Neuroticism_CTG	Neuroticism_CTG	IDP-25156
Neuroticism_CTG	Neuroticism_CTG	IDP-25181
Neuroticism_CTG	Neuroticism_CTG	IDP-25514
PD_Nalls_2019	PD_Nalls_2019	IDP-25181
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25235
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25319
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25361
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25493
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25601
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25711
AD_Jansen_2019	AD_Jansen_2019	IDP-25692
BIP_PGC_2020	BIP_PGC_2020	PC-1
BMI_Locke_2018	BMI_Locke_2018	IDP-25212
BMI_Locke_2018	BMI_Locke_2018	IDP-25334
BMI_Locke_2018	BMI_Locke_2018	IDP-25464
BMI_Locke_2018	BMI_Locke_2018	IDP-25568
