pheno	pheno_code	idp
AD_Jansen_2019	AD_Jansen_2019	PC-4
BMI_Locke_2018	BMI_Locke_2018	IDP-25792
BMI_Locke_2018	BMI_Locke_2018	IDP-25798
BMI_Locke_2018	BMI_Locke_2018	IDP-25824
BMI_Locke_2018	BMI_Locke_2018	IDP-25842
BMI_Locke_2018	BMI_Locke_2018	IDP-25888
BMI_Locke_2018	BMI_Locke_2018	IDP-25890
BMI_Locke_2018	BMI_Locke_2018	IDP-25891
BMI_Locke_2018	BMI_Locke_2018	IDP-25912
BMI_Locke_2018	BMI_Locke_2018	IDP-25913
EA_Lee_2018	EA_Lee_2018	IDP-25003
EA_Lee_2018	EA_Lee_2018	IDP-25017
EA_Lee_2018	EA_Lee_2018	IDP-25834
EA_Lee_2018	EA_Lee_2018	IDP-25892
EA_Lee_2018	EA_Lee_2018	PC-5
Intelligence_CTG	Intelligence_CTG	IDP-25003
Intelligence_CTG	Intelligence_CTG	IDP-25834
Intelligence_CTG	Intelligence_CTG	IDP-25850
Intelligence_CTG	Intelligence_CTG	IDP-25860
Intelligence_CTG	Intelligence_CTG	PC-5
MDD_PGC_2018	MDD_PGC_2018	IDP-25834
Neuroticism_CTG	Neuroticism_CTG	IDP-25025
Neuroticism_CTG	Neuroticism_CTG	IDP-25834
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25020
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25851
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25890
ASD_PGC_2017	ASD_PGC_2017	IDP-25791
BIP_PGC_2020	BIP_PGC_2020	IDP-25020
BMI_Locke_2018	BMI_Locke_2018	IDP-25011
BMI_Locke_2018	BMI_Locke_2018	IDP-25797
BMI_Locke_2018	BMI_Locke_2018	IDP-25818
BMI_Locke_2018	BMI_Locke_2018	IDP-25857
BMI_Locke_2018	BMI_Locke_2018	IDP-25866
BMI_Locke_2018	BMI_Locke_2018	IDP-25911
BMI_Locke_2018	BMI_Locke_2018	IDP-25920
BMI_Locke_2018	BMI_Locke_2018	PC-2
BMI_Locke_2018	BMI_Locke_2018	PC-4
EA_Lee_2018	EA_Lee_2018	IDP-25004
EA_Lee_2018	EA_Lee_2018	IDP-25783
EA_Lee_2018	EA_Lee_2018	IDP-25787
EA_Lee_2018	EA_Lee_2018	IDP-25847
EA_Lee_2018	EA_Lee_2018	IDP-25876
EA_Lee_2018	EA_Lee_2018	IDP-25886
EA_Lee_2018	EA_Lee_2018	IDP-25893
Intelligence_CTG	Intelligence_CTG	IDP-25004
Intelligence_CTG	Intelligence_CTG	IDP-25787
Intelligence_CTG	Intelligence_CTG	IDP-25795
Intelligence_CTG	Intelligence_CTG	IDP-25875
Intelligence_CTG	Intelligence_CTG	IDP-25876
Intelligence_CTG	Intelligence_CTG	IDP-25892
Neuroticism_CTG	Neuroticism_CTG	IDP-25019
Neuroticism_CTG	Neuroticism_CTG	IDP-25784
Neuroticism_CTG	Neuroticism_CTG	IDP-25785
Neuroticism_CTG	Neuroticism_CTG	IDP-25816
Neuroticism_CTG	Neuroticism_CTG	IDP-25855
Neuroticism_CTG	Neuroticism_CTG	IDP-25864
Neuroticism_CTG	Neuroticism_CTG	PC-3
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25019
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25821
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25847
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25848
SCZ_PGC_2020	SCZ_PGC_2020	IDP-25857
BMI_Locke_2018	BMI_Locke_2018	IDP-25003
BMI_Locke_2018	BMI_Locke_2018	IDP-25875
BMI_Locke_2018	BMI_Locke_2018	IDP-25883
EA_Lee_2018	EA_Lee_2018	IDP-25835
BMI_Locke_2018	BMI_Locke_2018	IDP-25785
BMI_Locke_2018	BMI_Locke_2018	IDP-25819
BMI_Locke_2018	BMI_Locke_2018	IDP-25826
BMI_Locke_2018	BMI_Locke_2018	IDP-25853
BMI_Locke_2018	BMI_Locke_2018	IDP-25859
BMI_Locke_2018	BMI_Locke_2018	IDP-25892
BMI_Locke_2018	BMI_Locke_2018	IDP-25893
BMI_Locke_2018	BMI_Locke_2018	IDP-25894
BMI_Locke_2018	BMI_Locke_2018	IDP-25907
BMI_Locke_2018	BMI_Locke_2018	IDP-25909
BMI_Locke_2018	BMI_Locke_2018	IDP-25910
BMI_Locke_2018	BMI_Locke_2018	IDP-25914
BMI_Locke_2018	BMI_Locke_2018	IDP-25918
BMI_Locke_2018	BMI_Locke_2018	PC-5
EA_Lee_2018	EA_Lee_2018	IDP-25011
EA_Lee_2018	EA_Lee_2018	IDP-25012
EA_Lee_2018	EA_Lee_2018	IDP-25021
EA_Lee_2018	EA_Lee_2018	IDP-25025
EA_Lee_2018	EA_Lee_2018	IDP-25797
EA_Lee_2018	EA_Lee_2018	IDP-25799
EA_Lee_2018	EA_Lee_2018	IDP-25812
EA_Lee_2018	EA_Lee_2018	IDP-25819
EA_Lee_2018	EA_Lee_2018	IDP-25850
EA_Lee_2018	EA_Lee_2018	IDP-25867
EA_Lee_2018	EA_Lee_2018	IDP-25874
EA_Lee_2018	EA_Lee_2018	IDP-25875
EA_Lee_2018	EA_Lee_2018	IDP-25880
EA_Lee_2018	EA_Lee_2018	IDP-25881
EA_Lee_2018	EA_Lee_2018	IDP-25894
Intelligence_CTG	Intelligence_CTG	IDP-25783
Intelligence_CTG	Intelligence_CTG	IDP-25784
Intelligence_CTG	Intelligence_CTG	IDP-25785
Intelligence_CTG	Intelligence_CTG	IDP-25804
Intelligence_CTG	Intelligence_CTG	IDP-25825
Intelligence_CTG	Intelligence_CTG	IDP-25874
Neuroticism_CTG	Neuroticism_CTG	IDP-25838
