pheno	pheno_code	idp
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	IDP-25812
Astle_et_al_2016_Eosinophil_counts	ebi-a-GCST004606	PC-4
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25023
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25850
Astle_et_al_2016_Granulocyte_count	ebi-a-GCST004614	IDP-25878
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25785
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25867
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25911
Astle_et_al_2016_High_light_scatter_reticulocyte_count	ukb-d-30300_irnt	IDP-25914
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25003
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25004
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25818
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25833
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25857
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25878
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25882
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25883
Astle_et_al_2016_Lymphocyte_counts	ebi-a-GCST004627	IDP-25888
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25796
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25850
Astle_et_al_2016_Monocyte_count	ukb-d-30130_irnt	IDP-25905
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25023
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25846
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25850
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25878
Astle_et_al_2016_Myeloid_white_cell_count	ebi-a-GCST004626	IDP-25879
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25023
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25850
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25878
Astle_et_al_2016_Neutrophil_count	ebi-a-GCST004629	IDP-25879
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25815
Astle_et_al_2016_Platelet_count	ukb-d-30080_irnt	IDP-25852
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25850
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	IDP-25863
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-4
Astle_et_al_2016_Red_blood_cell_count	ebi-a-GCST004601	PC-5
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25785
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25799
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25812
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25867
Astle_et_al_2016_Reticulocyte_count	ukb-d-30250_irnt	IDP-25914
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25023
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25850
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25878
Astle_et_al_2016_Sum_basophil_neutrophil_counts	ebi-a-GCST004620	IDP-25879
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	IDP-25812
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ebi-a-GCST004621	PC-4
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25023
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25850
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ebi-a-GCST004613	IDP-25878
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25850
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25857
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25873
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25878
Astle_et_al_2016_White_blood_cell_count	ieu-b-30	IDP-25879
EGG_BL	ieu-a-29	IDP-25912
EGG_BL	ieu-a-29	IDP-25914
EGG_BW3_EUR	ukb-b-13378	IDP-25882
EGG_BW3_EUR	ukb-b-13378	IDP-25883
EGG_BW3_EUR	ukb-b-13378	IDP-25912
EGG_BW3_EUR	ukb-b-13378	PC-3
EGG_BW3_EUR	ukb-b-13378	PC-5
ENIGMA_Intracraneal_Volume	ieu-a-1041	IDP-25003
ENIGMA_Intracraneal_Volume	ieu-a-1041	IDP-25004
GEFOS_Forearm	ieu-a-977	IDP-25920
GIANT_2015_BMI_EUR	ukb-b-19953	IDP-25920
GIANT_2017_BMI_Active_EUR	ukb-b-19953	IDP-25920
GIANT_HEIGHT	ieu-a-89	IDP-25003
GIANT_HEIGHT	ieu-a-89	IDP-25004
GIANT_HEIGHT	ieu-a-89	IDP-25019
GIANT_HEIGHT	ieu-a-89	IDP-25020
GIANT_HEIGHT	ieu-a-89	IDP-25784
GIANT_HEIGHT	ieu-a-89	IDP-25786
GIANT_HEIGHT	ieu-a-89	IDP-25787
GIANT_HEIGHT	ieu-a-89	IDP-25794
GIANT_HEIGHT	ieu-a-89	IDP-25795
GIANT_HEIGHT	ieu-a-89	IDP-25796
GIANT_HEIGHT	ieu-a-89	IDP-25797
GIANT_HEIGHT	ieu-a-89	IDP-25802
GIANT_HEIGHT	ieu-a-89	IDP-25803
GIANT_HEIGHT	ieu-a-89	IDP-25810
GIANT_HEIGHT	ieu-a-89	IDP-25813
GIANT_HEIGHT	ieu-a-89	IDP-25814
GIANT_HEIGHT	ieu-a-89	IDP-25815
GIANT_HEIGHT	ieu-a-89	IDP-25822
GIANT_HEIGHT	ieu-a-89	IDP-25830
GIANT_HEIGHT	ieu-a-89	IDP-25831
GIANT_HEIGHT	ieu-a-89	IDP-25834
GIANT_HEIGHT	ieu-a-89	IDP-25835
GIANT_HEIGHT	ieu-a-89	IDP-25842
GIANT_HEIGHT	ieu-a-89	IDP-25844
GIANT_HEIGHT	ieu-a-89	IDP-25848
GIANT_HEIGHT	ieu-a-89	IDP-25849
GIANT_HEIGHT	ieu-a-89	IDP-25852
GIANT_HEIGHT	ieu-a-89	IDP-25853
GIANT_HEIGHT	ieu-a-89	IDP-25854
GIANT_HEIGHT	ieu-a-89	IDP-25855
GIANT_HEIGHT	ieu-a-89	IDP-25859
GIANT_HEIGHT	ieu-a-89	IDP-25861
GIANT_HEIGHT	ieu-a-89	IDP-25870
GIANT_HEIGHT	ieu-a-89	IDP-25884
GIANT_HEIGHT	ieu-a-89	IDP-25893
GIANT_HEIGHT	ieu-a-89	IDP-25894
GIANT_HEIGHT	ieu-a-89	IDP-25900
GIANT_HEIGHT	ieu-a-89	IDP-25901
GIANT_HEIGHT	ieu-a-89	IDP-25903
GIANT_HEIGHT	ieu-a-89	IDP-25905
GIANT_HEIGHT	ieu-a-89	IDP-25908
GIANT_HEIGHT	ieu-a-89	IDP-25909
GIANT_HEIGHT	ieu-a-89	IDP-25912
GIANT_HEIGHT	ieu-a-89	IDP-25914
GIANT_HEIGHT	ieu-a-89	IDP-25915
GIANT_HEIGHT	ieu-a-89	IDP-25918
GIANT_HEIGHT	ieu-a-89	PC-3
GIANT_HEIGHT	ieu-a-89	PC-4
GIANT_HIP_Combined_EUR	ukb-b-15590	IDP-25821
GIANT_WC_Combined_EUR	ukb-b-9405	IDP-25795
