pheno	pheno_code	idp
weekly_alcohol	ukb-b-5779	IDP-25852
weekly_alcohol	ukb-b-5779	IDP-25882
weekly_alcohol	ukb-b-5779	IDP-25883
daily_cigarettes	ieu-b-25	PC-5
height	ukb-b-10787	IDP-25003
height	ukb-b-10787	IDP-25004
height	ukb-b-10787	IDP-25005
height	ukb-b-10787	IDP-25006
height	ukb-b-10787	IDP-25015
height	ukb-b-10787	IDP-25017
height	ukb-b-10787	IDP-25018
height	ukb-b-10787	IDP-25019
height	ukb-b-10787	IDP-25020
height	ukb-b-10787	IDP-25021
height	ukb-b-10787	IDP-25022
height	ukb-b-10787	IDP-25023
height	ukb-b-10787	IDP-25784
height	ukb-b-10787	IDP-25785
height	ukb-b-10787	IDP-25786
height	ukb-b-10787	IDP-25787
height	ukb-b-10787	IDP-25794
height	ukb-b-10787	IDP-25795
height	ukb-b-10787	IDP-25796
height	ukb-b-10787	IDP-25797
height	ukb-b-10787	IDP-25802
height	ukb-b-10787	IDP-25803
height	ukb-b-10787	IDP-25804
height	ukb-b-10787	IDP-25809
height	ukb-b-10787	IDP-25810
height	ukb-b-10787	IDP-25811
height	ukb-b-10787	IDP-25813
height	ukb-b-10787	IDP-25814
height	ukb-b-10787	IDP-25815
height	ukb-b-10787	IDP-25822
height	ukb-b-10787	IDP-25830
height	ukb-b-10787	IDP-25831
height	ukb-b-10787	IDP-25834
height	ukb-b-10787	IDP-25835
height	ukb-b-10787	IDP-25844
height	ukb-b-10787	IDP-25848
height	ukb-b-10787	IDP-25849
height	ukb-b-10787	IDP-25850
height	ukb-b-10787	IDP-25852
height	ukb-b-10787	IDP-25853
height	ukb-b-10787	IDP-25854
height	ukb-b-10787	IDP-25855
height	ukb-b-10787	IDP-25856
height	ukb-b-10787	IDP-25859
height	ukb-b-10787	IDP-25870
height	ukb-b-10787	IDP-25871
height	ukb-b-10787	IDP-25872
height	ukb-b-10787	IDP-25875
height	ukb-b-10787	IDP-25876
height	ukb-b-10787	IDP-25877
height	ukb-b-10787	IDP-25884
height	ukb-b-10787	IDP-25885
height	ukb-b-10787	IDP-25892
height	ukb-b-10787	IDP-25893
height	ukb-b-10787	IDP-25894
height	ukb-b-10787	IDP-25900
height	ukb-b-10787	IDP-25901
height	ukb-b-10787	IDP-25903
height	ukb-b-10787	IDP-25905
height	ukb-b-10787	IDP-25908
height	ukb-b-10787	IDP-25909
height	ukb-b-10787	IDP-25912
height	ukb-b-10787	IDP-25914
height	ukb-b-10787	IDP-25915
height	ukb-b-10787	IDP-25918
height	ukb-b-10787	IDP-25920
height	ukb-b-10787	PC-1
height	ukb-b-10787	PC-2
height	ukb-b-10787	PC-3
height	ukb-b-10787	PC-4
height	ukb-b-10787	PC-5
bmi	ukb-b-19953	IDP-25818
bmi	ukb-b-19953	IDP-25819
bmi	ukb-b-19953	IDP-25880
bmi	ukb-b-19953	IDP-25890
bmi	ukb-b-19953	IDP-25892
bmi	ukb-b-19953	IDP-25894
bmi	ukb-b-19953	IDP-25911
bmi	ukb-b-19953	IDP-25913
bmi	ukb-b-19953	IDP-25914
bmi	ukb-b-19953	IDP-25918
bmi	ukb-b-19953	IDP-25920
bmi	ukb-b-19953	PC-4
bmi	ukb-b-19953	PC-5
wbc	ieu-b-30	IDP-25825
wbc	ieu-b-30	IDP-25830
wbc	ieu-b-30	IDP-25834
wbc	ieu-b-30	IDP-25850
wbc	ieu-b-30	IDP-25851
wbc	ieu-b-30	IDP-25857
wbc	ieu-b-30	IDP-25867
wbc	ieu-b-30	IDP-25873
wbc	ieu-b-30	IDP-25904
wbc	ieu-b-30	PC-3
wbc	ieu-b-30	PC-5
rbc	ebi-a-GCST004601	IDP-25007
rbc	ebi-a-GCST004601	IDP-25008
rbc	ebi-a-GCST004601	IDP-25019
rbc	ebi-a-GCST004601	IDP-25021
rbc	ebi-a-GCST004601	IDP-25793
rbc	ebi-a-GCST004601	IDP-25798
rbc	ebi-a-GCST004601	IDP-25805
rbc	ebi-a-GCST004601	IDP-25812
rbc	ebi-a-GCST004601	IDP-25826
rbc	ebi-a-GCST004601	IDP-25829
rbc	ebi-a-GCST004601	IDP-25847
rbc	ebi-a-GCST004601	IDP-25850
rbc	ebi-a-GCST004601	IDP-25855
rbc	ebi-a-GCST004601	IDP-25858
rbc	ebi-a-GCST004601	IDP-25862
rbc	ebi-a-GCST004601	IDP-25863
rbc	ebi-a-GCST004601	IDP-25864
rbc	ebi-a-GCST004601	IDP-25876
rbc	ebi-a-GCST004601	IDP-25882
rbc	ebi-a-GCST004601	IDP-25883
rbc	ebi-a-GCST004601	IDP-25900
platelet	ukb-d-30080_irnt	IDP-25016
platelet	ukb-d-30080_irnt	IDP-25783
platelet	ukb-d-30080_irnt	IDP-25791
platelet	ukb-d-30080_irnt	IDP-25815
platelet	ukb-d-30080_irnt	IDP-25828
platelet	ukb-d-30080_irnt	IDP-25853
platelet	ukb-d-30080_irnt	IDP-25854
platelet	ukb-d-30080_irnt	IDP-25867
platelet	ukb-d-30080_irnt	IDP-25872
lymphocyte	ebi-a-GCST004627	IDP-25850
lymphocyte	ebi-a-GCST004627	IDP-25851
monocyte	ukb-d-30130_irnt	IDP-25850
neutrophil	ebi-a-GCST004629	IDP-25023
neutrophil	ebi-a-GCST004629	IDP-25830
neutrophil	ebi-a-GCST004629	IDP-25834
neutrophil	ebi-a-GCST004629	IDP-25850
neutrophil	ebi-a-GCST004629	IDP-25851
neutrophil	ebi-a-GCST004629	IDP-25857
neutrophil	ebi-a-GCST004629	IDP-25873
neutrophil	ebi-a-GCST004629	IDP-25892
neutrophil	ebi-a-GCST004629	IDP-25904
neutrophil	ebi-a-GCST004629	IDP-25911
neutrophil	ebi-a-GCST004629	PC-1
neutrophil	ebi-a-GCST004629	PC-3
neutrophil	ebi-a-GCST004629	PC-5
eosinophil	ebi-a-GCST004606	IDP-25019
eosinophil	ebi-a-GCST004606	IDP-25020
eosinophil	ebi-a-GCST004606	IDP-25803
eosinophil	ebi-a-GCST004606	IDP-25822
eosinophil	ebi-a-GCST004606	IDP-25859
basophil	ieu-b-29	IDP-25857
weekly_alcohol	ukb-b-5779	IDP-25853
parent_depression	ukb-b-12064	PC-3
parent_AD	ebi-a-GCST005921	IDP-25878
handedness	ukb-a-36	IDP-25850
daily_coffee	ukb-b-5237	IDP-25884
daily_coffee	ukb-b-5237	IDP-25905
height	ukb-b-10787	IDP-25851
height	ukb-b-10787	IDP-25868
height	ukb-b-10787	IDP-25869
height	ukb-b-10787	IDP-25887
height	ukb-b-10787	IDP-25902
bmi	ukb-b-19953	IDP-25003
bmi	ukb-b-19953	IDP-25020
bmi	ukb-b-19953	IDP-25842
bmi	ukb-b-19953	IDP-25875
bmi	ukb-b-19953	IDP-25888
bmi	ukb-b-19953	IDP-25891
bmi	ukb-b-19953	IDP-25912
bmi	ukb-b-19953	PC-3
wbc	ieu-b-30	IDP-25786
wbc	ieu-b-30	IDP-25914
wbc	ieu-b-30	PC-4
rbc	ebi-a-GCST004601	IDP-25018
rbc	ebi-a-GCST004601	IDP-25017
rbc	ebi-a-GCST004601	IDP-25020
rbc	ebi-a-GCST004601	IDP-25792
rbc	ebi-a-GCST004601	IDP-25853
rbc	ebi-a-GCST004601	IDP-25871
rbc	ebi-a-GCST004601	IDP-25880
rbc	ebi-a-GCST004601	IDP-25884
rbc	ebi-a-GCST004601	IDP-25911
rbc	ebi-a-GCST004601	PC-4
platelet	ukb-d-30080_irnt	IDP-25001
platelet	ukb-d-30080_irnt	IDP-25003
platelet	ukb-d-30080_irnt	IDP-25004
platelet	ukb-d-30080_irnt	IDP-25009
platelet	ukb-d-30080_irnt	IDP-25812
platelet	ukb-d-30080_irnt	IDP-25861
platelet	ukb-d-30080_irnt	IDP-25874
platelet	ukb-d-30080_irnt	IDP-25882
