ukb_field	n2018_id
25002	IDP_T1_SIENAX_peripheral_grey_unnormalised_volume
25004	IDP_T1_SIENAX_CSF_unnormalised_volume
25006	IDP_T1_SIENAX_grey_unnormalised_volume
25008	IDP_T1_SIENAX_white_unnormalised_volume
25010	IDP_T1_SIENAX_brain-unnormalised_volume
25011	IDP_T1_FIRST_left_thalamus_volume
25012	IDP_T1_FIRST_right_thalamus_volume
25013	IDP_T1_FIRST_left_caudate_volume
25014	IDP_T1_FIRST_right_caudate_volume
25015	IDP_T1_FIRST_left_putamen_volume
25016	IDP_T1_FIRST_right_putamen_volume
25017	IDP_T1_FIRST_left_pallidum_volume
25018	IDP_T1_FIRST_right_pallidum_volume
25019	IDP_T1_FIRST_left_hippocampus_volume
25020	IDP_T1_FIRST_right_hippocampus_volume
25021	IDP_T1_FIRST_left_amygdala_volume
25022	IDP_T1_FIRST_right_amygdala_volume
25023	IDP_T1_FIRST_left_accumbens_volume
25024	IDP_T1_FIRST_right_accumbens_volume
25025	IDP_T1_FIRST_brain_stem+4th_ventricle_volume
25056	IDP_dMRI_TBSS_FA_Middle_cerebellar_peduncle
25057	IDP_dMRI_TBSS_FA_Pontine_crossing_tract
25058	IDP_dMRI_TBSS_FA_Genu_of_corpus_callosum
25059	IDP_dMRI_TBSS_FA_Body_of_corpus_callosum
25060	IDP_dMRI_TBSS_FA_Splenium_of_corpus_callosum
25061	IDP_dMRI_TBSS_FA_Fornix
25062	IDP_dMRI_TBSS_FA_Corticospinal_tract_R
25063	IDP_dMRI_TBSS_FA_Corticospinal_tract_L
25064	IDP_dMRI_TBSS_FA_Medial_lemniscus_R
25065	IDP_dMRI_TBSS_FA_Medial_lemniscus_L
25066	IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_R
25067	IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_L
25068	IDP_dMRI_TBSS_FA_Superior_cerebellar_peduncle_R
25069	IDP_dMRI_TBSS_FA_Superior_cerebellar_peduncle_L
25070	IDP_dMRI_TBSS_FA_Cerebral_peduncle_R
25071	IDP_dMRI_TBSS_FA_Cerebral_peduncle_L
25072	IDP_dMRI_TBSS_FA_Anterior_limb_of_internal_capsule_R
25073	IDP_dMRI_TBSS_FA_Anterior_limb_of_internal_capsule_L
25074	IDP_dMRI_TBSS_FA_Posterior_limb_of_internal_capsule_R
25075	IDP_dMRI_TBSS_FA_Posterior_limb_of_internal_capsule_L
25076	IDP_dMRI_TBSS_FA_Retrolenticular_part_of_internal_capsule_R
25077	IDP_dMRI_TBSS_FA_Retrolenticular_part_of_internal_capsule_L
25078	IDP_dMRI_TBSS_FA_Anterior_corona_radiata_R
25079	IDP_dMRI_TBSS_FA_Anterior_corona_radiata_L
25080	IDP_dMRI_TBSS_FA_Superior_corona_radiata_R
25081	IDP_dMRI_TBSS_FA_Superior_corona_radiata_L
25082	IDP_dMRI_TBSS_FA_Posterior_corona_radiata_R
25083	IDP_dMRI_TBSS_FA_Posterior_corona_radiata_L
25084	IDP_dMRI_TBSS_FA_Posterior_thalamic_radiation_R
25085	IDP_dMRI_TBSS_FA_Posterior_thalamic_radiation_L
25086	IDP_dMRI_TBSS_FA_Sagittal_stratum_R
25087	IDP_dMRI_TBSS_FA_Sagittal_stratum_L
25088	IDP_dMRI_TBSS_FA_External_capsule_R
25089	IDP_dMRI_TBSS_FA_External_capsule_L
25090	IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_R
25091	IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_L
25092	IDP_dMRI_TBSS_FA_Cingulum_hippocampus_R
25093	IDP_dMRI_TBSS_FA_Cingulum_hippocampus_L
25094	IDP_dMRI_TBSS_FA_Fornix_cres+Stria_terminalis_R
25095	IDP_dMRI_TBSS_FA_Fornix_cres+Stria_terminalis_L
25096	IDP_dMRI_TBSS_FA_Superior_longitudinal_fasciculus_R
25097	IDP_dMRI_TBSS_FA_Superior_longitudinal_fasciculus_L
25098	IDP_dMRI_TBSS_FA_Superior_fronto-occipital_fasciculus_R
25099	IDP_dMRI_TBSS_FA_Superior_fronto-occipital_fasciculus_L
25100	IDP_dMRI_TBSS_FA_Uncinate_fasciculus_R
25101	IDP_dMRI_TBSS_FA_Uncinate_fasciculus_L
25102	IDP_dMRI_TBSS_FA_Tapetum_R
25103	IDP_dMRI_TBSS_FA_Tapetum_L
25104	IDP_dMRI_TBSS_MD_Middle_cerebellar_peduncle
25105	IDP_dMRI_TBSS_MD_Pontine_crossing_tract
25106	IDP_dMRI_TBSS_MD_Genu_of_corpus_callosum
25107	IDP_dMRI_TBSS_MD_Body_of_corpus_callosum
25108	IDP_dMRI_TBSS_MD_Splenium_of_corpus_callosum
25109	IDP_dMRI_TBSS_MD_Fornix
25110	IDP_dMRI_TBSS_MD_Corticospinal_tract_R
25111	IDP_dMRI_TBSS_MD_Corticospinal_tract_L
25112	IDP_dMRI_TBSS_MD_Medial_lemniscus_R
25113	IDP_dMRI_TBSS_MD_Medial_lemniscus_L
25114	IDP_dMRI_TBSS_MD_Inferior_cerebellar_peduncle_R
25115	IDP_dMRI_TBSS_MD_Inferior_cerebellar_peduncle_L
25116	IDP_dMRI_TBSS_MD_Superior_cerebellar_peduncle_R
25117	IDP_dMRI_TBSS_MD_Superior_cerebellar_peduncle_L
25118	IDP_dMRI_TBSS_MD_Cerebral_peduncle_R
25119	IDP_dMRI_TBSS_MD_Cerebral_peduncle_L
25120	IDP_dMRI_TBSS_MD_Anterior_limb_of_internal_capsule_R
25121	IDP_dMRI_TBSS_MD_Anterior_limb_of_internal_capsule_L
25122	IDP_dMRI_TBSS_MD_Posterior_limb_of_internal_capsule_R
25123	IDP_dMRI_TBSS_MD_Posterior_limb_of_internal_capsule_L
25124	IDP_dMRI_TBSS_MD_Retrolenticular_part_of_internal_capsule_R
25125	IDP_dMRI_TBSS_MD_Retrolenticular_part_of_internal_capsule_L
25126	IDP_dMRI_TBSS_MD_Anterior_corona_radiata_R
25127	IDP_dMRI_TBSS_MD_Anterior_corona_radiata_L
25128	IDP_dMRI_TBSS_MD_Superior_corona_radiata_R
25129	IDP_dMRI_TBSS_MD_Superior_corona_radiata_L
