pheno	idp	pheno_code
weekly_alcohol	IDP-25882	ukb-b-5779
weekly_alcohol	PC-1	ukb-b-5779
daily_coffee	IDP-25006	ukb-b-5237
daily_cigarettes	IDP-25829	ieu-b-25
daily_cigarettes	IDP-25879	ieu-b-25
daily_cigarettes	IDP-25888	ieu-b-25
daily_cigarettes	IDP-25891	ieu-b-25
daily_cigarettes	PC-4	ieu-b-25
daily_cigarettes	PC-5	ieu-b-25
height	IDP-25004	ukb-b-10787
height	IDP-25006	ukb-b-10787
height	IDP-25834	ukb-b-10787
height	IDP-25849	ukb-b-10787
height	IDP-25853	ukb-b-10787
height	IDP-25879	ukb-b-10787
height	IDP-25912	ukb-b-10787
height	PC-1	ukb-b-10787
height	PC-3	ukb-b-10787
bmi	IDP-25888	ukb-b-19953
bmi	IDP-25892	ukb-b-19953
bmi	IDP-25894	ukb-b-19953
bmi	IDP-25911	ukb-b-19953
bmi	IDP-25912	ukb-b-19953
bmi	IDP-25913	ukb-b-19953
bmi	IDP-25918	ukb-b-19953
bmi	PC-1	ukb-b-19953
bmi	PC-4	ukb-b-19953
bmi	PC-5	ukb-b-19953
weekly_alcohol	IDP-25883	ukb-b-5779
parent_depression	PC-3	ukb-b-12064
daily_coffee	IDP-25905	ukb-b-5237
daily_cigarettes	IDP-25891	ieu-b-25
height	IDP-25004	ukb-b-10787
height	IDP-25006	ukb-b-10787
height	IDP-25834	ukb-b-10787
height	IDP-25851	ukb-b-10787
height	IDP-25879	ukb-b-10787
height	IDP-25912	ukb-b-10787
height	PC-3	ukb-b-10787
height	PC-5	ukb-b-10787
bmi	IDP-25004	ukb-b-19953
bmi	IDP-25890	ukb-b-19953
bmi	IDP-25911	ukb-b-19953
bmi	IDP-25912	ukb-b-19953
bmi	IDP-25913	ukb-b-19953
bmi	PC-3	ukb-b-19953
bmi	PC-4	ukb-b-19953
