pheno	idp	pheno_code
weekly_alcohol	IDP-25144	ukb-b-5779
weekly_alcohol	IDP-25186	ukb-b-5779
weekly_alcohol	IDP-25298	ukb-b-5779
recurrent_depressive_disorder	IDP-25503	ukb-b-12064
recurrent_depressive_disorder	IDP-25592	ukb-b-12064
parent_depression	IDP-25238	ukb-b-12064
handedness	IDP-25247	ukb-a-36
daily_coffee	PC-5	ukb-b-5237
daily_cigarettes	IDP-25314	ieu-b-25
height	IDP-25060	ukb-b-10787
height	IDP-25162	ukb-b-10787
height	IDP-25676	ukb-b-10787
height	IDP-25694	ukb-b-10787
height	PC-4	ukb-b-10787
height	PC-5	ukb-b-10787
height	PC-9	ukb-b-10787
bmi	IDP-25200	ukb-b-19953
bmi	IDP-25337	ukb-b-19953
bmi	IDP-25355	ukb-b-19953
bmi	IDP-25404	ukb-b-19953
bmi	PC-5	ukb-b-19953
bmi	PC-6	ukb-b-19953
bmi	PC-9	ukb-b-19953
daily_cigarettes	IDP-25309	ieu-b-25
height	PC-3	ukb-b-10787
bmi	IDP-25358	ukb-b-19953
bmi	IDP-25435	ukb-b-19953
