pheno	idp	pheno_code
UKB_21001_Body_mass_index_BMI	IDP-25200	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25667	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-5	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-6	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25060	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25126	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25162	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25222	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25404	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25405	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25662	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25663	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25664	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25694	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25695	UKB_50_Standing_height
UKB_50_Standing_height	PC-9	UKB_50_Standing_height
GIANT_2015_BMI_EUR	IDP-25200	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-5	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-6	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25162	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25222	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25402	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25694	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25695	GIANT_HEIGHT
GIANT_HEIGHT	PC-9	GIANT_HEIGHT
SSGAC_Education_Years_Pooled	IDP-25212	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25404	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25619	SSGAC_Education_Years_Pooled
