pheno	idp	pheno_code
UKB_1160_Sleep_duration	IDP-25878	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	PC-1	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25834	UKB_1160_Sleep_duration
UKB_1200_Sleeplessness_or_insomnia	IDP-25834	UKB_1200_Sleeplessness_or_insomnia
UKB_20016_Fluid_intelligence_score	IDP-25006	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25783	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25850	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25879	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25892	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25911	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-4	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-5	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25834	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25878	UKB_20016_Fluid_intelligence_score
UKB_20127_Neuroticism_score	IDP-25834	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	PC-3	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25025	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25878	UKB_20127_Neuroticism_score
UKB_21001_Body_mass_index_BMI	IDP-25888	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25892	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25894	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25912	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25913	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25918	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-1	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-2	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-4	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-5	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25004	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25890	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25004	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25006	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25834	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25849	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25853	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25879	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25912	UKB_50_Standing_height
UKB_50_Standing_height	PC-1	UKB_50_Standing_height
UKB_50_Standing_height	PC-3	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25851	UKB_50_Standing_height
GIANT_2017_BMI_Active_EUR	IDP-25892	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25920	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	PC-1	GIANT_2017_BMI_Active_EUR
GIANT_2015_BMI_EUR	IDP-25892	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25914	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25920	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-1	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-2	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25004	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25006	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25834	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25849	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25852	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25912	GIANT_HEIGHT
GIANT_HEIGHT	PC-1	GIANT_HEIGHT
GIANT_HEIGHT	PC-3	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25851	GIANT_HEIGHT
PGC_ADHD_EUR_2017	IDP-25879	PGC_ADHD_EUR_2017
PGC_ADHD_EUR_2017	PC-4	PGC_ADHD_EUR_2017
pgc.scz2	IDP-25012	pgc.scz2
pgc.scz2	IDP-25828	pgc.scz2
