pheno	idp	pheno_code
UKB_1160_Sleep_duration	IDP-25117	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25367	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	PC-2	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25661	UKB_1160_Sleep_duration
UKB_1180_Morning_or_evening_person_chronotype	IDP-25443	UKB_1180_Morning_or_evening_person_chronotype
UKB_1180_Morning_or_evening_person_chronotype	IDP-25517	UKB_1180_Morning_or_evening_person_chronotype
UKB_1200_Sleeplessness_or_insomnia	IDP-25294	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	IDP-25357	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	IDP-25411	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	IDP-25490	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	IDP-25547	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	PC-2	UKB_1200_Sleeplessness_or_insomnia
UKB_20002_1261_self_reported_multiple_sclerosis	IDP-25547	UKB_20002_1261_self_reported_multiple_sclerosis
UKB_20016_Fluid_intelligence_score	IDP-25069	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25346	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-2	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-4	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-9	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25359	UKB_20016_Fluid_intelligence_score
UKB_20127_Neuroticism_score	IDP-25309	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	PC-8	UKB_20127_Neuroticism_score
UKB_21001_Body_mass_index_BMI	IDP-25068	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25200	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25355	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25668	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-5	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-6	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-9	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25358	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25435	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25060	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25162	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25222	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25694	UKB_50_Standing_height
UKB_50_Standing_height	PC-5	UKB_50_Standing_height
UKB_50_Standing_height	PC-9	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25553	UKB_50_Standing_height
UKB_50_Standing_height	PC-3	UKB_50_Standing_height
CNCR_Insomnia_all	PC-2	CNCR_Insomnia_all
GIANT_2017_BMI_Active_EUR	IDP-25668	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	PC-5	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25358	GIANT_2017_BMI_Active_EUR
GIANT_2015_BMI_EUR	IDP-25200	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25212	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25668	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-5	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-6	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-9	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25359	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25162	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25222	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25565	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25694	GIANT_HEIGHT
GIANT_HEIGHT	PC-5	GIANT_HEIGHT
GIANT_HEIGHT	PC-9	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25366	GIANT_HEIGHT
GIANT_HEIGHT	PC-3	GIANT_HEIGHT
Jones_et_al_2016_SleepDuration	PC-2	Jones_et_al_2016_SleepDuration
PGC_ADHD_EUR_2017	IDP-25674	PGC_ADHD_EUR_2017
pgc.scz2	IDP-25235	pgc.scz2
pgc.scz2	IDP-25341	pgc.scz2
pgc.scz2	IDP-25373	pgc.scz2
pgc.scz2	IDP-25407	pgc.scz2
pgc.scz2	IDP-25687	pgc.scz2
pgc.scz2	PC-1	pgc.scz2
pgc.scz2	IDP-25361	pgc.scz2
SSGAC_Education_Years_Pooled	IDP-25069	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25191	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25346	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-2	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-5	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-8	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-9	SSGAC_Education_Years_Pooled
