pheno	idp	pheno_code
BIP_PGC_2020	PC-1	BIP_PGC_2020
MDD_PGC_2018	IDP-25406	MDD_PGC_2018
MDD_PGC_2018	IDP-25396	MDD_PGC_2018
SCZ_PGC_2020	IDP-25151	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25238	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25372	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25407	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25618	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25687	SCZ_PGC_2020
SCZ_PGC_2020	PC-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25106	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25361	SCZ_PGC_2020
ED_PGC_2019	IDP-25411	ED_PGC_2019
EA_Lee_2018	IDP-25069	EA_Lee_2018
EA_Lee_2018	IDP-25191	EA_Lee_2018
EA_Lee_2018	IDP-25346	EA_Lee_2018
EA_Lee_2018	PC-2	EA_Lee_2018
EA_Lee_2018	PC-5	EA_Lee_2018
EA_Lee_2018	PC-8	EA_Lee_2018
EA_Lee_2018	PC-9	EA_Lee_2018
Intelligence_CTG	IDP-25069	Intelligence_CTG
Intelligence_CTG	IDP-25091	Intelligence_CTG
Intelligence_CTG	IDP-25191	Intelligence_CTG
Intelligence_CTG	IDP-25346	Intelligence_CTG
Intelligence_CTG	PC-2	Intelligence_CTG
Intelligence_CTG	PC-8	Intelligence_CTG
Intelligence_CTG	PC-9	Intelligence_CTG
Intelligence_CTG	IDP-25298	Intelligence_CTG
Neuroticism_CTG	IDP-25117	Neuroticism_CTG
Neuroticism_CTG	IDP-25490	Neuroticism_CTG
Neuroticism_CTG	IDP-25502	Neuroticism_CTG
Neuroticism_CTG	PC-8	Neuroticism_CTG
PD_Nalls_2019	IDP-25308	PD_Nalls_2019
AD_Jansen_2019	IDP-25503	AD_Jansen_2019
AD_Jansen_2019	IDP-25106	AD_Jansen_2019
