pheno	idp	pheno_code
weekly_alcohol	IDP-25006	ukb-b-5779
weekly_alcohol	IDP-25014	ukb-b-5779
daily_coffee	IDP-25006	ukb-b-5237
daily_cigarettes	IDP-25877	ieu-b-25
daily_cigarettes	IDP-25891	ieu-b-25
height	IDP-25002	ukb-b-10787
height	IDP-25004	ukb-b-10787
height	IDP-25834	ukb-b-10787
height	IDP-25876	ukb-b-10787
height	IDP-25879	ukb-b-10787
height	PC-Subcortical-1	ukb-b-10787
height	IDP-25894	ukb-b-10787
height	IDP-25912	ukb-b-10787
bmi	IDP-25892	ukb-b-19953
bmi	IDP-25871	ukb-b-19953
bmi	PC-Subcortical-1	ukb-b-19953
bmi	IDP-25894	ukb-b-19953
bmi	IDP-25911	ukb-b-19953
bmi	IDP-25913	ukb-b-19953
bmi	IDP-25920	ukb-b-19953
bmi	PC-Cerebellum-1	ukb-b-19953
weekly_alcohol	IDP-25853	ukb-b-5779
weekly_alcohol	IDP-25897	ukb-b-5779
daily_coffee	IDP-25877	ukb-b-5237
daily_coffee	PC-Subcortical-1	ukb-b-5237
daily_cigarettes	IDP-25834	ieu-b-25
height	IDP-25010	ukb-b-10787
height	IDP-25851	ukb-b-10787
height	IDP-25877	ukb-b-10787
height	IDP-25878	ukb-b-10787
bmi	IDP-25013	ukb-b-19953
bmi	IDP-25890	ukb-b-19953
