pheno	idp	pheno_code
weekly_alcohol	IDP-25396	ukb-b-5779
recurrent_depressive_disorder	IDP-25424	ukb-b-12064
daily_coffee	IDP-25392	ukb-b-5237
daily_cigarettes	IDP-25357	ieu-b-25
daily_cigarettes	IDP-25695	ieu-b-25
daily_cigarettes	IDP-25507	ieu-b-25
daily_cigarettes	IDP-25512	ieu-b-25
height	IDP-25347	ukb-b-10787
height	IDP-25447	ukb-b-10787
height	IDP-25694	ukb-b-10787
height	PC-OD-ProbTrack-1	ukb-b-10787
height	IDP-25404	ukb-b-10787
height	IDP-25502	ukb-b-10787
height	IDP-25065	ukb-b-10787
height	IDP-25070	ukb-b-10787
height	IDP-25099	ukb-b-10787
bmi	IDP-25651	ukb-b-19953
bmi	IDP-25668	ukb-b-19953
bmi	IDP-25355	ukb-b-19953
bmi	IDP-25441	ukb-b-19953
bmi	IDP-25695	ukb-b-19953
bmi	IDP-25392	ukb-b-19953
bmi	IDP-25404	ukb-b-19953
bmi	IDP-25427	ukb-b-19953
bmi	PC-OD-TBSS-1	ukb-b-19953
daily_cigarettes	IDP-25394	ieu-b-25
height	IDP-25663	ukb-b-10787
height	IDP-25371	ukb-b-10787
height	IDP-25415	ukb-b-10787
bmi	IDP-25359	ukb-b-19953
bmi	IDP-25385	ukb-b-19953
bmi	IDP-25435	ukb-b-19953
