pheno	idp	pheno_code
UKB_20016_Fluid_intelligence_score	IDP-25892	UKB_20016_Fluid_intelligence_score
UKB_21001_Body_mass_index_BMI	IDP-25920	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25002	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25006	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25010	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25877	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25890	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25892	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25912	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25914	UKB_50_Standing_height
UKB_50_Standing_height	PC-Subcortical-1	UKB_50_Standing_height
GIANT_HEIGHT	IDP-25002	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25006	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25010	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25834	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25890	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25912	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25914	GIANT_HEIGHT
GIANT_HEIGHT	PC-Cortical-1	GIANT_HEIGHT
GIANT_HEIGHT	PC-Subcortical-1	GIANT_HEIGHT
SSGAC_Education_Years_Pooled	IDP-25850	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25876	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25877	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25893	SSGAC_Education_Years_Pooled
