pheno	idp	pheno_code
UKB_1160_Sleep_duration	IDP-25367	UKB_1160_Sleep_duration
UKB_20016_Fluid_intelligence_score	PC-OD-ProbTrack-1	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-OD-TBSS-1	UKB_20016_Fluid_intelligence_score
UKB_21001_Body_mass_index_BMI	IDP-25056	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25358	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25359	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25368	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25369	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25385	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25406	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25441	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25667	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25668	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25694	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25695	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25060	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25064	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25065	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25070	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25082	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25356	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25375	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25401	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25404	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25405	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25664	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25665	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25694	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25695	UKB_50_Standing_height
UKB_50_Standing_height	PC-OD-ProbTrack-1	UKB_50_Standing_height
UKB_50_Standing_height	PC-OD-TBSS-1	UKB_50_Standing_height
GIANT_2015_BMI_EUR	IDP-25056	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25368	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25369	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25441	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25667	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25668	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25695	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25060	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25064	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25065	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25070	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25082	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25353	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25393	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25404	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25405	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25664	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25694	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25695	GIANT_HEIGHT
SSGAC_Education_Years_Pooled	IDP-25069	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25404	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25694	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25695	SSGAC_Education_Years_Pooled
