pheno	idp	pheno_code
UKB_1160_Sleep_duration	IDP-25892	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25878	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25834	UKB_1160_Sleep_duration
UKB_1200_Sleeplessness_or_insomnia	IDP-25892	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	IDP-25834	UKB_1200_Sleeplessness_or_insomnia
UKB_20016_Fluid_intelligence_score	IDP-25892	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25783	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25850	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25875	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25876	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25020	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25879	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25834	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25851	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-Subcortical-1	UKB_20016_Fluid_intelligence_score
UKB_20127_Neuroticism_score	IDP-25834	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	PC-Subcortical-1	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25878	UKB_20127_Neuroticism_score
UKB_21001_Body_mass_index_BMI	IDP-25892	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25871	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-Subcortical-1	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25894	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25911	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25913	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25920	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-Cerebellum-1	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25890	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25004	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25006	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25834	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25876	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25019	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25879	UKB_50_Standing_height
UKB_50_Standing_height	PC-Subcortical-1	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25912	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25010	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25851	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25877	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25878	UKB_50_Standing_height
CNCR_Insomnia_all	IDP-25850	CNCR_Insomnia_all
GIANT_2017_BMI_Active_EUR	IDP-25920	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	PC-Cerebellum-1	GIANT_2017_BMI_Active_EUR
GIANT_2015_BMI_EUR	IDP-25914	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25920	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	PC-Cerebellum-1	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25890	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25002	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25004	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25834	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25849	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25876	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25890	GIANT_HEIGHT
GIANT_HEIGHT	PC-Subcortical-1	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25894	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25912	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25010	GIANT_HEIGHT
PGC_ADHD_EUR_2017	IDP-25850	PGC_ADHD_EUR_2017
pgc.scz2	IDP-25004	pgc.scz2
pgc.scz2	IDP-25847	pgc.scz2
pgc.scz2	IDP-25856	pgc.scz2
pgc.scz2	IDP-25020	pgc.scz2
SSGAC_Education_Years_Pooled	IDP-25892	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25834	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25847	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25850	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25876	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25879	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25894	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25902	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25911	SSGAC_Education_Years_Pooled
