pheno	idp	pheno_code
UKB_1160_Sleep_duration	IDP-25367	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25679	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25069	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25085	UKB_1160_Sleep_duration
UKB_1160_Sleep_duration	IDP-25661	UKB_1160_Sleep_duration
UKB_1180_Morning_or_evening_person_chronotype	IDP-25443	UKB_1180_Morning_or_evening_person_chronotype
UKB_1200_Sleeplessness_or_insomnia	IDP-25357	UKB_1200_Sleeplessness_or_insomnia
UKB_1200_Sleeplessness_or_insomnia	PC-OD-ProbTrack-1	UKB_1200_Sleeplessness_or_insomnia
UKB_20002_1261_self_reported_multiple_sclerosis	IDP-25360	UKB_20002_1261_self_reported_multiple_sclerosis
UKB_20002_1265_self_reported_migraine	IDP-25367	UKB_20002_1265_self_reported_migraine
UKB_20016_Fluid_intelligence_score	IDP-25660	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25346	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25374	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	PC-OD-ProbTrack-1	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25407	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25069	UKB_20016_Fluid_intelligence_score
UKB_20016_Fluid_intelligence_score	IDP-25661	UKB_20016_Fluid_intelligence_score
UKB_20127_Neuroticism_score	IDP-25357	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25453	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25456	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25394	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25404	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25366	UKB_20127_Neuroticism_score
UKB_20127_Neuroticism_score	IDP-25069	UKB_20127_Neuroticism_score
UKB_21001_Body_mass_index_BMI	IDP-25667	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25368	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25441	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25695	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25392	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25404	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	PC-OD-TBSS-1	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25359	UKB_21001_Body_mass_index_BMI
UKB_21001_Body_mass_index_BMI	IDP-25435	UKB_21001_Body_mass_index_BMI
UKB_50_Standing_height	IDP-25356	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25447	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25694	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25401	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25502	UKB_50_Standing_height
UKB_50_Standing_height	PC-FA-ProbTrack-1	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25065	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25082	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25099	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25663	UKB_50_Standing_height
UKB_50_Standing_height	IDP-25415	UKB_50_Standing_height
CNCR_Insomnia_all	IDP-25357	CNCR_Insomnia_all
GIANT_2017_BMI_Active_EUR	IDP-25651	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25668	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25441	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25404	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25358	GIANT_2017_BMI_Active_EUR
GIANT_2017_BMI_Active_EUR	IDP-25359	GIANT_2017_BMI_Active_EUR
GIANT_2015_BMI_EUR	IDP-25668	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25441	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25695	GIANT_2015_BMI_EUR
GIANT_2015_BMI_EUR	IDP-25359	GIANT_2015_BMI_EUR
GIANT_HEIGHT	IDP-25664	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25369	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25447	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25694	GIANT_HEIGHT
GIANT_HEIGHT	PC-OD-ProbTrack-1	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25405	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25414	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25065	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25070	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25099	GIANT_HEIGHT
GIANT_HEIGHT	IDP-25663	GIANT_HEIGHT
IGAP_Alzheimer	IDP-25346	IGAP_Alzheimer
Jones_et_al_2016_SleepDuration	IDP-25078	Jones_et_al_2016_SleepDuration
PGC_ADHD_EUR_2017	IDP-25404	PGC_ADHD_EUR_2017
PGC_ADHD_EUR_2017	IDP-25064	PGC_ADHD_EUR_2017
pgc.scz2	IDP-25687	pgc.scz2
pgc.scz2	IDP-25411	pgc.scz2
pgc.scz2	IDP-25434	pgc.scz2
pgc.scz2	IDP-25101	pgc.scz2
SSGAC_Education_Years_Pooled	IDP-25346	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25357	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25695	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25404	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25413	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-OD-TBSS-1	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25073	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25663	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25371	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	PC-FA-ProbTrack-1	SSGAC_Education_Years_Pooled
SSGAC_Education_Years_Pooled	IDP-25069	SSGAC_Education_Years_Pooled
tag.evrsmk.tbl	IDP-25695	tag.evrsmk.tbl
