pheno	idp	pheno_code
BIP_PGC_2020	IDP-25892	BIP_PGC_2020
BIP_PGC_2020	IDP-25881	BIP_PGC_2020
MDD_PGC_2018	IDP-25834	MDD_PGC_2018
SCZ_PGC_2020	IDP-25004	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25847	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25857	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25020	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25785	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25890	SCZ_PGC_2020
EA_Lee_2018	IDP-25892	EA_Lee_2018
EA_Lee_2018	IDP-25834	EA_Lee_2018
EA_Lee_2018	IDP-25847	EA_Lee_2018
EA_Lee_2018	IDP-25850	EA_Lee_2018
EA_Lee_2018	IDP-25876	EA_Lee_2018
EA_Lee_2018	IDP-25879	EA_Lee_2018
EA_Lee_2018	IDP-25911	EA_Lee_2018
EA_Lee_2018	IDP-25916	EA_Lee_2018
EA_Lee_2018	IDP-25851	EA_Lee_2018
EA_Lee_2018	IDP-25877	EA_Lee_2018
EA_Lee_2018	IDP-25878	EA_Lee_2018
Intelligence_CTG	IDP-25892	Intelligence_CTG
Intelligence_CTG	IDP-25784	Intelligence_CTG
Intelligence_CTG	IDP-25850	Intelligence_CTG
Intelligence_CTG	IDP-25871	Intelligence_CTG
Intelligence_CTG	IDP-25876	Intelligence_CTG
Intelligence_CTG	IDP-25879	Intelligence_CTG
Intelligence_CTG	IDP-25891	Intelligence_CTG
Intelligence_CTG	IDP-25894	Intelligence_CTG
Intelligence_CTG	IDP-25834	Intelligence_CTG
Intelligence_CTG	PC-Subcortical-1	Intelligence_CTG
Neuroticism_CTG	IDP-25834	Neuroticism_CTG
Neuroticism_CTG	IDP-25838	Neuroticism_CTG
Neuroticism_CTG	PC-Subcortical-1	Neuroticism_CTG
Neuroticism_CTG	IDP-25878	Neuroticism_CTG
AD_Jansen_2019	IDP-25880	AD_Jansen_2019
