pheno	idp	pheno_code
BIP_PGC_2020	PC-ICVF-TBSS-1	BIP_PGC_2020
BIP_PGC_2020	IDP-25687	BIP_PGC_2020
BIP_PGC_2020	IDP-25426	BIP_PGC_2020
BIP_PGC_2020	PC-ICVF-ProbTrack-1	BIP_PGC_2020
MDD_PGC_2018	IDP-25406	MDD_PGC_2018
MDD_PGC_2018	IDP-25088	MDD_PGC_2018
SCZ_PGC_2020	IDP-25687	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25407	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25434	SCZ_PGC_2020
SCZ_PGC_2020	PC-ICVF-ProbTrack-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25358	SCZ_PGC_2020
EA_Lee_2018	IDP-25346	EA_Lee_2018
EA_Lee_2018	IDP-25356	EA_Lee_2018
EA_Lee_2018	IDP-25404	EA_Lee_2018
EA_Lee_2018	PC-OD-TBSS-1	EA_Lee_2018
EA_Lee_2018	IDP-25501	EA_Lee_2018
EA_Lee_2018	IDP-25077	EA_Lee_2018
EA_Lee_2018	PC-OD-ProbTrack-1	EA_Lee_2018
EA_Lee_2018	IDP-25405	EA_Lee_2018
EA_Lee_2018	IDP-25069	EA_Lee_2018
EA_Lee_2018	PC-FA-TBSS-1	EA_Lee_2018
Intelligence_CTG	IDP-25660	Intelligence_CTG
Intelligence_CTG	IDP-25393	Intelligence_CTG
Intelligence_CTG	IDP-25394	Intelligence_CTG
Intelligence_CTG	IDP-25404	Intelligence_CTG
Intelligence_CTG	PC-OD-TBSS-1	Intelligence_CTG
Intelligence_CTG	IDP-25059	Intelligence_CTG
Intelligence_CTG	IDP-25069	Intelligence_CTG
Intelligence_CTG	IDP-25661	Intelligence_CTG
Intelligence_CTG	IDP-25665	Intelligence_CTG
Intelligence_CTG	PC-OD-ProbTrack-1	Intelligence_CTG
Intelligence_CTG	IDP-25407	Intelligence_CTG
Neuroticism_CTG	IDP-25664	Neuroticism_CTG
Neuroticism_CTG	IDP-25357	Neuroticism_CTG
Neuroticism_CTG	IDP-25394	Neuroticism_CTG
Neuroticism_CTG	IDP-25366	Neuroticism_CTG
PD_Nalls_2019	IDP-25068	PD_Nalls_2019
PD_Nalls_2019	IDP-25079	PD_Nalls_2019
AD_Jansen_2019	IDP-25653	AD_Jansen_2019
