pheno	idp	pheno_code
SCZ_PGC_2020	IDP-25004	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25811	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25838	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25845	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25846	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25847	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25852	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25857	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25869	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25011	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25012	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25020	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25785	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25882	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25883	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25890	SCZ_PGC_2020
