pheno	idp	pheno_code
SCZ_PGC_2020	IDP-25652	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25669	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25670	SCZ_PGC_2020
SCZ_PGC_2020	PC-ICVF-ProbTrack-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25348	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25359	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25361	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25372	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25373	SCZ_PGC_2020
SCZ_PGC_2020	PC-ICVF-TBSS-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25726	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25445	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25452	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25453	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25456	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25474	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25487	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25682	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25686	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25687	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25700	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25701	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25392	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25397	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25407	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25410	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25411	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25418	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25419	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25426	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25434	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25435	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25493	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25496	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25497	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25507	SCZ_PGC_2020
SCZ_PGC_2020	PC-FA-ProbTrack-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25061	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25062	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25075	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25084	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25085	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25098	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25099	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25100	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25101	SCZ_PGC_2020
SCZ_PGC_2020	PC-FA-TBSS-1	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25358	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25360	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25363	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25393	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25406	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25415	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25511	SCZ_PGC_2020
SCZ_PGC_2020	IDP-25090	SCZ_PGC_2020
