ukb_field	t1_or_dmri	anatomy	left_or_right	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link
25002	T1	peripheral cortical grey matter	NA	Other T1 measurements	NA	Total	Volume of peripheral cortical grey matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25002
25004	T1	ventricular cerebrospinal fluid	NA	Other T1 measurements	NA	Total	Volume of ventricular cerebrospinal fluid (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25004
25006	T1	grey matter	NA	Other T1 measurements	NA	Total	Volume of grey matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25006
25008	T1	white matter	NA	Other T1 measurements	NA	Total	Volume of white matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25008
25010	T1	brain, grey+white	NA	Other T1 measurements	NA	Total	Volume of brain, grey+white, from T1 brain image	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25010
25011	T1	thalamus	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left thalamus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25011
25012	T1	thalamus	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right thalamus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25012
25013	T1	caudate	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left caudate (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25013
25014	T1	caudate	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right caudate (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25014
25015	T1	putamen	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left putamen (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25015
25016	T1	putamen	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right putamen (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25016
25017	T1	pallidum	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left pallidum (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25017
25018	T1	pallidum	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right pallidum (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25018
25019	T1	hippocampus	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left hippocampus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25019
25020	T1	hippocampus	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right hippocampus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25020
25021	T1	amygdala	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left amygdala (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25021
25022	T1	amygdala	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right amygdala (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25022
25023	T1	accumbens	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left accumbens (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25023
25024	T1	accumbens	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right accumbens (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25024
25025	T1	brain stem + 4th ventricle	NA	Other T1 measurements	NA	Brainstem	Volume of brain stem + 4th ventricle (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25025
25782	T1	frontal pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25782
25783	T1	frontal pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25783
25784	T1	insular cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Insular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25784
25785	T1	insular cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Insular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25785
25786	T1	superior frontal gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25786
25787	T1	superior frontal gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25787
25788	T1	middle frontal gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25788
25789	T1	middle frontal gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25789
25790	T1	inferior frontal gyrus, pars triangularis	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25790
25791	T1	inferior frontal gyrus, pars triangularis	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25791
25792	T1	inferior frontal gyrus, pars opercularis	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25792
25793	T1	inferior frontal gyrus, pars opercularis	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25793
25794	T1	precentral gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Precentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25794
25795	T1	precentral gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Precentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25795
25796	T1	temporal pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25796
25797	T1	temporal pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25797
25798	T1	superior temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25798
25799	T1	superior temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25799
25800	T1	superior temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25800
25801	T1	superior temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25801
25802	T1	middle temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25802
