ukb_field	modality	region	side	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link	subtype
25002	T1	peripheral cortical grey matter	NA	Other T1 measurements	NA	Total	Volume of peripheral cortical grey matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25002	Total
25004	T1	ventricular cerebrospinal fluid	NA	Other T1 measurements	NA	Total	Volume of ventricular cerebrospinal fluid (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25004	Total
25006	T1	grey matter	NA	Other T1 measurements	NA	Total	Volume of grey matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25006	Total
25008	T1	white matter	NA	Other T1 measurements	NA	Total	Volume of white matter (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25008	Total
25010	T1	brain, grey+white	NA	Other T1 measurements	NA	Total	Volume of brain, grey+white, from T1 brain image	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25010	Total
25011	T1	thalamus	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left thalamus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25011	Subcortical
25012	T1	thalamus	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right thalamus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25012	Subcortical
25013	T1	caudate	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left caudate (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25013	Subcortical
25014	T1	caudate	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right caudate (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25014	Subcortical
25015	T1	putamen	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left putamen (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25015	Subcortical
